Date,ROTP,RailReliability,MetroAccessOTP,EscalatorAvail,ElevatorAvail,TotalInjuries,Crime
1/1/11,0.879,48241,0.901,0.888,96.30%,2.08,6.39
2/1/11,0.887,37703,0.89,0.866,96.00%,1.66,4.68
3/1/11,0.91,50328,0.913,0.869,96.90%,2.16,3.96
4/1/11,0.909,39302,0.912,0.862,96.40%,2.21,4.72
5/1/11,0.909,37355,0.922,0.825,97.40%,1.69,7.32
6/1/11,0.902,36963,0.932,0.82,98.00%,1.99,5.16
7/1/11,0.895,33112,0.931,0.819,97.30%,1.65,6.06
8/1/11,0.914,42475,0.927,0.807,95.20%,1.43,4.02
9/1/11,0.91,50829,0.918,0.844,94.50%,1.67,4.16
10/1/11,0.905,47654,0.93,0.874,94.90%,1.46,5.41
11/1/11,0.887,35138,0.93,0.901,96.70%,2.08,9.03
12/1/11,0.906,39356,0.931,0.886,96.40%,2.37,6
1/1/12,0.893,40399,0.934,0.886,95.70%,1.6,7.99
2/1/12,0.892,40253,0.923,0.894,96.60%,1.23,8.31
3/1/12,0.908,43537,0.917,0.893,96.50%,1.27,5.14
4/1/12,0.908,42237,0.928,0.9,96.50%,1.69,4.79
5/1/12,0.9,42556,0.924,0.907,97.30%,2.79,4.62
6/1/12,0.908,32526,0.927,0.906,98.00%,2.61,6.52
7/1/12,0.912,36551,0.936,0.901,97.00%,1.39,6.13
8/1/12,0.921,50842,0.925,0.873,97.50%,1.52,5.66
9/1/12,0.915,51013,0.921,0.868,97.20%,1.29,7.52
10/1/12,0.917,72943,0.924,0.884,97.40%,2.01,6.16
11/1/12,0.917,67555,0.922,0.904,96.90%,1.2,6.43
12/1/12,0.923,66942,0.923,0.908,97.50%,1.4,5
1/1/13,0.923,67500,0.933,0.902,97.50%,1.88,5.9
2/1/13,0.922,71323,0.923,0.898,96.70%,1.49,7
3/1/13,0.921,71225,0.926,0.92,96.10%,1.84,4.8
4/1/13,0.924,64890,0.916,0.919,95.40%,2.6,5
5/1/13,0.919,62418,0.919,0.923,95.10%,1.78,9.4
6/1/13,0.915,61745,0.899,0.916,94.90%,2.05,9.3
7/1/13,0.917,51757,0.913,0.926,96.70%,1.46,7.8
8/1/13,0.927,69230,0.929,0.928,96.60%,1.98,9.1
9/1/13,0.924,75697,0.906,0.938,96.90%,2.23,8.5
10/1/13,0.922,61959,0.912,0.939,96.80%,2.39,8.1
11/1/13,0.903,51248,0.911,0.929,97.40%,1.68,5.9
12/1/13,0.923,63468,0.925,0.918,96.90%,1.59,4.3
1/1/14,0.892,44530,0.933,0.93,97.40%,3.01,3.2
2/1/14,0.92,66600,0.902,0.936,96.60%,1.9,3.2
3/1/14,0.904,63127,0.925,0.936,97.30%,1.51,3.8
4/1/14,0.92,77957,0.911,0.926,97.20%,1.53,3.9
5/1/14,0.917,64848,0.923,0.923,97.60%,2.19,6
6/1/14,0.912,55522,0.924,0.931,97.00%,1.63,6.1
7/1/14,0.922,84627,0.926,0.929,97.20%,1.74,5.9
8/1/14,0.897,65042,0.928,0.927,96.80%,1.47,8.2
9/1/14,0.907,73150,0.918,0.93,96.30%,2.95,6
10/1/14,0.901,89891,0.919,0.938,96.00%,1.53,4.6
11/1/14,0.884,63436,0.915,0.938,96.70%,1.86,4.7
12/1/14,0.897,61000,0.922,0.932,96.20%,2.42,3.8
1/1/15,0.873,53784,0.93,0.931,96.80%,5.19,4.3
2/1/15,0.839,41558,0.891,0.939,97.40%,1.7,3.6
3/1/15,0.885,63588,0.894,0.941,97.90%,2.22,3.6
4/1/15,0.899,60242,0.92,0.935,97.10%,2.49,3.8
5/1/15,0.87,69260,0.929,0.937,96.50%,1.7,5.8
6/1/15,0.846,54779,0.935,0.933,96.10%,1.61,4.8
7/1/15,0.844,56446,0.948,0.929,96.70%,0.81,4.7
8/1/15,0.828,59196,0.947,0.933,97.40%,2.53,5.5
9/1/15,0.789,60872,0.939,0.934,96.40%,1.7,6.2
10/1/15,0.756,65900,0.93,0.927,96.40%,2.05,6.9
11/1/15,0.801,63564,0.934,0.932,96.40%,1.37,5.4
12/1/15,0.823,51599,0.937,0.933,97.20%,1.35,4.7
1/1/16,0.7,39657,0.937,0.936,97.20%,3.29,6.1
2/1/16,0.72,47239,0.931,0.935,96.70%,2.22,4.4
3/1/16,0.78,59131,0.93,0.943,97.10%,1.75,4.3
4/1/16,0.8,80943,0.925,0.939,97.00%,2.13,4.1
5/1/16,0.69,81278,0.93,0.933,96.80%,1.91,6.1
6/1/16,0.71,85389,0.923,0.931,96.60%,2.15,5
7/1/16,0.71,55850,0.92,0.93,96.20%,1.78,6.3
8/1/16,0.69,73246,0.914,0.921,96.70%,1.79,6.2
9/1/16,0.64,65416,0.838,0.925,96.60%,2.01,5.4
10/1/16,0.65,86174,0.834,0.944,96.60%,1.73,4.9
11/1/16,0.61,66697,0.836,0.94,96.90%,1.68,4.5
12/1/16,0.63,76244,0.869,0.941,96.90%,2.63,4.9
1/1/17,0.66,79105,0.88,0.95,96%,2.14,4.5
2/1/17,0.71,85489,0.874,0.95,97%,2.59,3.8
3/1/17,0.7,80348,0.854,0.96,97%,2.17,3.5
4/1/17,0.75,118958,0.88,0.96,97%,1.41,4.2
5/1/17,0.76,101585,0.87,0.96,98%,2.19,4.6
6/1/17,0.79,104461,0.92,0.95,97%,1.71,4.5
7/1/17,0.86,92927,0.89,0.95,97%,1.57,4.6
8/1/17,0.89,83133,0.91,0.94,97%,2.03,4.8
9/1/17,0.87,83890,0.9,0.95,97%,2.61,5.2
10/1/17,0.88,99876,0.93,0.94,97%,1.87,4.1
11/1/17,0.87,80687,0.93,0.94,97%,1.92,3.9
12/1/17,0.86,85310,0.94,0.94,98%,2.15,3.8
