OBJECTID,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June
1,WMNH1I,708,NH1,,BRANCH AVENUE METRO STATION,26527,NATIONAL HARBOR,27923,Local Metrobus,Metro Bus,30,21,Peak,843,712,693,581,547,424,480,616,735,652,783,770
2,WMNH1I,708,NH1,,BRANCH AVENUE METRO STATION,26527,ST GEORGE BLVD & WATERFRONT ST (NATIONAL HARBOR),27923,Local Metrobus,Metro Bus,30,19,Off-Peak,843,712,693,581,547,424,480,616,735,652,783,770
3,WMNH1O,710,NH1,,ST GEORGE BLVD & WATERFRONT ST (NATIONAL HARBOR),27923,BRANCH AVENUE METRO STATION,26527,Local Metrobus,Metro Bus,30,18,Off-Peak,843,712,693,581,547,424,480,616,735,652,783,770
4,WMNH1O,710,NH1,,NATIONAL HARBOR,27923,BRANCH AVENUE METRO STATION,26527,Local Metrobus,Metro Bus,30,20,Peak,843,712,693,581,547,424,480,616,735,652,783,770
5,MT203,1891,203,,Medical Center,22054,Snowden River P&R,22054,Commuter Bus,MTA,60,72,Off-Peak,0,0,0,0,0,1002,1421,1571,1648,1643,1821,0
6,MT201,1888,201,,Gaithersburg P&R,22416,Arundel Mills Mall,45844,Commuter Bus,MTA,60,60,Peak,3860,3966,4341,4601,5019,4888,4889,5957,6038,6532,6697,0
7,MT201,1888,201,,Gaithersburg P&R,22416,Arundel Mills Mall,45844,Commuter Bus,MTA,60,62,Off-Peak,3860,3966,4341,4601,5019,4888,4889,5957,6038,6532,6697,0
8,MT202,1890,202,,Metropolitan Grove MARC Station,23222,Fort Meade,23222,Commuter Bus,MTA,60,85,Peak,816,830,852,822,915,1118,1212,1374,1386,1449,1524,0
9,MT202,1890,202,,Fort Meade,45837,Metropolitan Grove MARC Station,23222,Commuter Bus,MTA,60,93,Off-Peak,816,830,852,822,915,1118,1212,1374,1386,1449,1524,0
10,MT203,1891,203,,Snowden River P&R,44263,Medical Center,22054,Commuter Bus,MTA,30,72,Peak,0,0,0,0,0,1002,1421,1571,1648,1643,1821,0
