OBJECTID,TransitRouteID,TransitRoute,OperRtNM,Notes,Headway,Origin,ONode,Destination,DNode,Mode,Operator,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June,Direction
1,WM86O,222,86, ,30,RHODE ISLAND AVE STA & BUS BAY A,21012,CENTER PARK RDWY & #4061,26507,Local Metrobus,Metro Bus,71,Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
2,WM87#1O,223,87, ,30,GREENBELT STATION & BUS BAY C,26106,2ND ST & MAIN ST,26306,Local Metrobus,Metro Bus,24,Peak,831,865,939,887,811,756,760,824,791,858,866,844,2
3,WM87I,224,87, ,30,BALTIMORE AVE & MAIN ST,26305,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,47,Peak,831,865,939,887,811,756,760,824,791,858,866,844,2
4,WM88I,225,88, ,60,BALTIMORE AVE & MAIN ST,26305,NEW CARROLLTON STATION & BUS BAY E,26193,Local Metrobus,Metro Bus,48,Peak,831,865,939,887,811,756,760,824,791,858,866,844,2
5,WM89#1O,226,89, ,60,GREENBELT STATION & BUS BAY C,26106,CHERRY LA & BALTIMORE AV,27243,Local Metrobus,Metro Bus,37,Peak,851,838,894,933,853,796,734,810,730,767,834,832,2
6,WM89I,227,89, ,60,CHERRY LA & 4TH ST,26246,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,52,Peak,851,838,894,933,853,796,734,810,730,767,834,832,2
7,WM89MI,228,89M, ,60,SOUTH LAUREL PARK & RIDE LOT & BAY,27424,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,47,Off-Peak,851,838,894,933,853,796,734,810,730,767,834,832,2
8,WMD08O,229,D8, ,16,MASSACHUSETTS AVE NE & NORTH CAPITO,20258,FIRST ST NE & ENTR TO NATL REHAB HO,21124,Local Metrobus,Metro Bus,46,Off-Peak,4188,4181,4369,4547,4321,4014,4151,4459,4324,4554,4451,4402,2
9,WM86O,222,86, ,30,RHODE ISLAND AVE STA & BUS BAY A,21012,CENTER PARK RDWY & #4061,26507,Local Metrobus,Metro Bus,71,Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
10,WM83O,231,83, ,30,RHODE ISLAND AVE STA & BUS BAY A,21012,JAYROSE BLVD & CHERRY HILL RD,27316,Local Metrobus,Metro Bus,53,Off-Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
11,WM86I,232,86, ,30,CENTER PARK RDWY & #4061,26265,RHODE ISLAND AVE STA & BUS BAY A,21012,Local Metrobus,Metro Bus,68,Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
12,WM42O,233,42, ,12,NW 9TH ST & NW G ST,20516,LAMONT ST NW & MT PLEASANT ST NW,20821,Local Metrobus,Metro Bus,35,Off-Peak,7518,7200,7217,7137,6976,6231,6882,7427,7014,7177,6929,7106,2
13,WM90#3O,234,90, ,15,CALVERT ST NW LOOP & CALVERT ST NW,20652,ANACOSTIA STATION & BUS BAY E,21341,Local Metrobus,Metro Bus,64,Off-Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
14,WM90%I,235,90, ,16,ANACOSTIA STATION & BUS BAY E,21341,CALVERT ST NW LOOP & CALVERT ST NW,20652,Local Metrobus,Metro Bus,59,Off-Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
15,WM90%I,235,90, ,16,ANACOSTIA STATION & BUS BAY E,21341,CALVERT ST NW LOOP & CALVERT ST NW,20652,Local Metrobus,Metro Bus,59,Off-Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
