OBJECTID,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June,Direction
1,WM86O,222,86,,RHODE ISLAND AVE STA & BUS BAY A,21012,CENTER PARK RDWY & #4061,26507,Local Metrobus,Metro Bus,30,71,Peak,4716,4649,4668,4407,4404,3971,3860,4190,4236,4385,4445,4611,2
2,WM87#1O,223,87,,GREENBELT STATION & BUS BAY C,26106,2ND ST & MAIN ST,26306,Local Metrobus,Metro Bus,30,24,Peak,880,821,904,852,841,752,708,790,780,795,735,740,2
3,WM87I,224,87,,BALTIMORE AVE & MAIN ST,26305,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,30,47,Peak,880,821,904,852,841,752,708,790,780,795,735,740,2
4,WM88I,225,88,,BALTIMORE AVE & MAIN ST,26305,NEW CARROLLTON STATION & BUS BAY E,26193,Local Metrobus,Metro Bus,60,48,Peak,880,821,904,852,841,752,708,790,780,795,735,740,2
5,WM89#1O,226,89,,GREENBELT STATION & BUS BAY C,26106,CHERRY LA & BALTIMORE AV,27243,Local Metrobus,Metro Bus,60,37,Peak,842,785,803,828,852,735,693,771,776,845,886,881,2
6,WM89I,227,89,,CHERRY LA & 4TH ST,26246,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,60,52,Peak,842,785,803,828,852,735,693,771,776,845,886,881,2
7,WM89MI,228,89M,,SOUTH LAUREL PARK & RIDE LOT & BAY,27424,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,60,47,Off-Peak,842,785,803,828,852,735,693,771,776,845,886,881,2
8,WMD08O,229,D8,,MASSACHUSETTS AVE NE & NORTH CAPITO,20258,FIRST ST NE & ENTR TO NATL REHAB HO,21124,Local Metrobus,Metro Bus,16,46,Off-Peak,4200,4254,4494,4185,4162,3927,3997,4445,4309,4516,4592,4423,2
9,WM86O,222,86,,RHODE ISLAND AVE STA & BUS BAY A,21012,CENTER PARK RDWY & #4061,26507,Local Metrobus,Metro Bus,30,71,Peak,4716,4649,4668,4407,4404,3971,3860,4190,4236,4385,4445,4611,2
10,WM83O,231,83,,RHODE ISLAND AVE STA & BUS BAY A,21012,JAYROSE BLVD & CHERRY HILL RD,27316,Local Metrobus,Metro Bus,30,53,Off-Peak,4716,4649,4668,4407,4404,3971,3860,4190,4236,4385,4445,4611,2
11,WM86I,232,86,,CENTER PARK RDWY & #4061,26265,RHODE ISLAND AVE STA & BUS BAY A,21012,Local Metrobus,Metro Bus,30,68,Peak,4716,4649,4668,4407,4404,3971,3860,4190,4236,4385,4445,4611,2
12,WM42O,233,42,,NW 9TH ST & NW G ST,20516,LAMONT ST NW & MT PLEASANT ST NW,20821,Local Metrobus,Metro Bus,12,35,Off-Peak,7107,6880,7035,7494,7524,6896,7644,7888,7823,7645,7427,7574,2
13,WM90#3O,234,90,,CALVERT ST NW LOOP & CALVERT ST NW,20652,ANACOSTIA STATION & BUS BAY E,21341,Local Metrobus,Metro Bus,15,64,Off-Peak,12139,12475,13242,13434,12623,11458,11667,12999,12786,11928,12266,11780,2
14,WM90%I,235,90,,ANACOSTIA STATION & BUS BAY E,21341,CALVERT ST NW LOOP & CALVERT ST NW,20652,Local Metrobus,Metro Bus,16,59,Off-Peak,12139,12475,13242,13434,12623,11458,11667,12999,12786,11928,12266,11780,2
15,WM90%I,235,90,,ANACOSTIA STATION & BUS BAY E,21341,CALVERT ST NW LOOP & CALVERT ST NW,20652,Local Metrobus,Metro Bus,16,59,Off-Peak,12139,12475,13242,13434,12623,11458,11667,12999,12786,11928,12266,11780,2
16,WM92%#1I,237,92,,CONGRESS HEIGHTS STA & BUS BAY E,21369,NW U ST & NW 14TH ST,20445,Local Metrobus,Metro Bus,12,60,Peak,12139,12475,13242,13434,12623,11458,11667,12999,12786,11928,12266,11780,2
17,WM92%#1O,238,92,,U ST & 13TH ST NW,20445,CONGRESS HEIGHTS STA & BUS BAY E,21369,Local Metrobus,Metro Bus,15,64,Off-Peak,12139,12475,13242,13434,12623,11458,11667,12999,12786,11928,12266,11780,2
18,WM28TO,494,28T,,W FALLS CHURCH STATION & BUS BAY A,34938,TYSONS WESTPARK TRAN STA & BUS BAY,35132,Local Metrobus,Metro Bus,20,40,Peak,676,673,669,654,649,594,614,644,635,632,642,646,2
19,WM28XI,495,28X,,MARK CENTER STATION BUS BAY 2,34088,TYSONS CORNER S/C & BUS STOP 1,36005,Local Metrobus,Metro Bus,15,50,Peak,1083,1107,1136,1139,1126,1019,1135,1246,1222,1266,1297,1313,2
20,WM29CO,496,29C,,PENTAGON STATION & BUS BAY L4 (29C),30206,NVCC ANNANDALE CAMPUS,34974,Express Metrobus,Metro Bus,30,31,Peak,1075,1065,1196,1137,1066,928,1012,1155,1075,1125,1189,1151,2
21,WM29GI,497,29G,,HERITAGE DR & AMERICANA DR,36228,PENTAGON STATION & ALIGHTING ONLY,30359,Express Metrobus,Metro Bus,12,39,Peak,1075,1065,1196,1137,1066,928,1012,1155,1075,1125,1189,1151,2
22,WM29HI,498,29H,,HERITAGE DR & DONNEYBROOK CT,36228,PENTAGON STATION & ALIGHTING ONLY,30359,Express Metrobus,Metro Bus,15,47,Peak,1075,1065,1196,1137,1066,928,1012,1155,1075,1125,1189,1151,2
23,WM29KI,499,29K,,GEORGE MASON UNIVERSITY,34364,KING ST STATION & BUS BAY D,32157,Local Metrobus,Metro Bus,30,63,Peak,1954,2180,2530,2378,2152,1808,1802,2322,2236,2512,2375,2375,2
24,WM10AI,500,10A,,S WASHINGTON ST & SOUTH ST (T),34025,PENTAGON STATION & BUS BAY U11,30359,Local Metrobus,Metro Bus,20,40,Peak,2168,2179,2252,2086,2135,2031,1639,1901,1925,2788,2651,2784,2
25,WM25BI,501,25B,,VAN DORN METRO STA & BUS BAY A,34022,BALLSTON STATION & BUS BAY B,30093,Local Metrobus,Metro Bus,20,59,Peak,1210,1290,1388,1303,1292,1125,1173,1370,1282,1321,1308,1355,2
26,ART77I,502,ART 77,,Shirlington Station 2975 S Quincy Street NB,30170,Court House Metro Arlington Co Offices (Flags),30123,Other Primary - Local Bus,ART Bus,30,27,Peak,751,786,896,923,892,811,821,884,988,863,895,890,2
27,WMP12I,503,P12,,AUDREY LA & EASTOVER PARK & RIDE LO,26400,ADDISON RD STATION & BUS BAY C,26201,Local Metrobus,Metro Bus,20,70,Peak,6088,5726,5848,6014,5939,5686,5382,6214,5999,6119,6430,6383,2
28,WMQ02O,504,Q2,,SILVER SPRING STATION & BUS BAY P,22862,MANNAKEE ST & SOUTH CAMPUS DR,22395,Local Metrobus,Metro Bus,15,56,Peak,9276,9364,10119,9636,9199,8492,7699,8843,8798,9172,9335,9356,2
29,WMQ04I,505,Q4,,ROCKVILLE STATION WEST & BUS BAY C,22370,SILVER SPRING STATION & BUS BAY P,22172,Local Metrobus,Metro Bus,30,52,Off-Peak,9276,9364,10119,9636,9199,8492,7699,8843,8798,9172,9335,9356,2
30,WMQ04O,506,Q4,,SILVER SPRING STATION & BUS BAY P,22172,ROCKVILLE STATION WEST & BUS BAY B,22370,Local Metrobus,Metro Bus,27,44,Off-Peak,9276,9364,10119,9636,9199,8492,7699,8843,8798,9172,9335,9356,2
31,WMQ06I,507,Q6,,SHADY GROVE STA (W) & BUS BAY C,22395,WHEATON STATION & BUS BAY D,22595,Local Metrobus,Metro Bus,27,52,Off-Peak,9276,9364,10119,9636,9199,8492,7699,8843,8798,9172,9335,9356,2
32,WM74LI,508,74,,6TH ST & MASSACHUSETTS AVE NW,20158,"TERMINAL;SW HALF ST & SW O ST",21283,Local Metrobus,Metro Bus,12,20,Peak,1478,1553,1637,1549,1586,1494,1525,1822,1790,1714,1820,1768,2
33,ART45I,509,ART 45,,Columbia Pike WB @ S Greenbrier Street NS,34088,Rosslyn Metro,30120,Other Primary - Local Bus,ART Bus,30,43,Peak,911,942,1000,958,947,865,849,837,854,907,959,968,2
34,ART77O,510,ART 77,,Court House Metro Arlington Co Offices (Flags),30122,Shirlington Station 2975 S Quincy Street NB,30170,Other Primary - Local Bus,ART Bus,30,26,Peak,751,786,896,923,892,811,821,884,988,863,895,890,2
35,ART77O,510,ART 77,,Court House Metro Arlington Co Offices (Flags),30122,Shirlington Station 2975 S Quincy Street NB,30170,Other Primary - Local Bus,ART Bus,30,26,Peak,751,786,896,923,892,811,821,884,988,863,895,890,2
36,ART45I,509,ART 45,,Columbia Pike WB @ S Greenbrier Street NS,34088,Rosslyn Metro,30120,Other Primary - Local Bus,ART Bus,30,43,Peak,911,942,1000,958,947,865,849,837,854,907,959,968,2
37,ART45O,513,ART 45,,Rosslyn Metro,30120,Columbia Pike WB @ S Greenbrier Street NS,30151,Other Primary - Local Bus,ART Bus,30,42,Peak,911,942,1000,958,947,865,849,837,854,907,959,968,2
