OBJECTID_1,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Direction,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June
1,MT220BI,3390,220,,ROWE BLVD & TAYLOR AVE sb,45569,C ST & 21 ST NW fs eb,20266,Maryland Commuter Bus,2,MTA,30,95,Peak,,,766,783,753,595,678,702,701,727,726,700
2,WMV09I,3391,"V7,8,9",,SE BENNING RD & SE HANNA PL,21304,1ST SE & K ST SE,21667,Local Metrobus,2,Metro Bus,20,35,Peak,4119,3874,4501,4358,3967,3628,3716,3926,4196,4038,4409,2884
3,WMW01O,3392,W1,,SOUTHERN AVE STATION & BUS BAY Q,20888,"TERMINAL;SW IRVINGTON ST & SW JOLIET ST",20845,Local Metrobus,2,Metro Bus,20,33,Peak,826,826,1331,1307,1255,1068,1118,1138,1197,980,1086,999
4,MT220O,3393,220,,C ST & 21 ST NW fs eb,20266,KENT NARROWS P & R,45602,Maryland Commuter Bus,2,MTA,60,103,Off-Peak,,,766,783,753,595,678,702,701,727,726,700
5,MT515AI,3394,515,,Monocacy MARC Station (Bus),42372,FERNWOOD RD & ROCK SPRING DR nb,22005,Maryland Commuter Bus,2,MTA,30,72,Peak,,,,,830,701,755,805,783,774,807,780
6,MT335I,3395,335,,CLARKSVILLE PARK & RIDE,44058,18TH ST & M ST NW nb,20480,Maryland Commuter Bus,2,MTA,20,80,Peak,,,513,505,501,402,441,490,469,499,515,492
7,MT725I,3396,725,,CALIFORNIA AIRPORT in ST MARY:S CO,49569,C ST & 21 ST NW fs eb,20266,Maryland Commuter Bus,2,MTA,30,113,Peak,,,,,312,247,262,279,284,307,298,295
8,ANNGRNO,3397,,Not collected,WESTFIELD MALL,45584,EASTPORT PLAZA,45876,Other Primary - Express Bus,2,Annapolis,30,23,Peak,,,,,,,,,,,,
9,MT345O,3398,345,,LONG GATE,44163,18TH ST & M ST NW nb,20480,Maryland Commuter Bus,2,MTA,20,99,Peak,,,485,480,458,382,423,460,450,479,489,469
10,MT902BI,3399,902,,PRINCE FREDERICK  (FAIRGROUND & ARMORY RD),49079,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,15,111,Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
11,AMTK95O,3400,,Not collected,UNION STATION VRE,9001,FREDERICKSBURG VRE STATION,9084,Commuter Rail,2,AMTRK,60,69,Off-Peak,,,,,,,,,,,,
12,VMAS321,3401,Manassas,,Washington-Union Station,9001,Broad Run,9067,Commuter Rail,2,VRE,60,75,Peak,8381,8185,8577,8687,8032,7708,8059,8582,8786,8942,8364,8518
13,VMAS336,3402,Manassas,,Broad Run,9067,Washington-Union Station,9001,Commuter Rail,2,VRE,60,70,Off-Peak,8381,8185,8577,8687,8032,7708,8059,8582,8786,8942,8364,8518
14,MBR876,3403,Brunswick,,BRUNSWICK  STATION,9014,UNION STATION,9001,Commuter Rail,2,MARC,60,95,Peak,7492,7396,7561,7790,7443,6527,7358,6999,7302,7426,7665,7808
15,MBR871,3404,Brunswick,,UNION STATION,9001,BRUNSWICK  STATION,9014,Commuter Rail,2,MARC,60,94,Off-Peak,7492,7396,7561,7790,7443,6527,7358,6999,7302,7426,7665,7808
16,MBR878,3405,Brunswick,,Duffields WVA,9016,Union Station,9001,Commuter Rail,2,MARC,60,111,Peak,7492,7396,7561,7790,7443,6527,7358,6999,7302,7426,7665,7808
17,MCAM847,3406,Camden,,DORSEY,9027,UNION STATION,9001,Commuter Rail,2,MARC,60,54,Peak,4422,4484,4626,4577,4474,4234,4352,4116,4436,4368,4371,4593
18,MT650I,3407,650,,LA PLATA  & CHARLES CO,47167,C ST & 21 ST NW fs eb,20228,Maryland Commuter Bus,2,MTA,30,94,Peak,651,664,718,704,719,580,628,674,677,672,664,653
19,MT650O,3408,650,,C ST & 21 ST NW fs eb,20228,LA PLATA  & CHARLES CO,47030,Maryland Commuter Bus,2,MTA,60,84,Off-Peak,651,664,718,704,719,580,628,674,677,672,664,653
20,MT620AI,3409,620,,US 301 P & R & SMALLWOOD DR,47062,C ST & 21 ST NW fs eb,20228,Maryland Commuter Bus,2,MTA,20,71,Peak,840,843,906,873,805,664,729,764,787,765,830,819
21,MT620BO,3410,620,,C ST & 21 ST NW fs eb,20228,SOUTHERN MARYLAND BLUE CRABS STADIUM,47269,Maryland Commuter Bus,2,MTA,60,87,Off-Peak,840,843,906,873,805,664,729,764,787,765,830,819
22,MT315AI,3411,315,,COLUMBIA MALL & SOUTH RING RD eb,44251,M ST & 8/9TH STS mid eb,21286,Maryland Commuter Bus,2,MTA,30,108,Peak,,,590,579,550,454,523,574,559,592,600,570
23,MT902AO,3412,902,,C ST & 20TH ST NW (STATE DEPARTMENT),20266,ST LEONARD CHURCH MD 2 & BALL RD,49027,Maryland Commuter Bus,2,MTA,60,120,Off-Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
24,MT315BI,3413,315,,LOTTE PLAZA US 40 & US 29,44041,M ST & 8/9TH STS mid eb,21286,Maryland Commuter Bus,2,MTA,30,121,Peak,,,590,579,550,454,523,574,559,592,600,570
25,MT902B0,3414,902,,C ST & 20TH ST NW (STATE DEPARTMENT),20266,PRINCE FREDERICK  (FAIRGROUND & ARMORY RD),49079,Maryland Commuter Bus,2,MTA,60,108,Off-Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
26,MT735I,3415,735,,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,N CAPITOL ST & H ST nb,20276,Maryland Commuter Bus,2,MTA,20,103,Peak,,,,,483,390,436,451,471,487,493,502
27,MT735O,3416,735,,N CAPITOL ST & H ST NW sb,20276,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,Maryland Commuter Bus,2,MTA,60,102,Off-Peak,,,,,483,390,436,451,471,487,493,502
28,MT904AI,3417,904,,NORTH BEACH PM 5TH & CHESAPEAKE,49127,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,20,107,Peak,1054,1009,1072,1075,1052,864,980,1051,1052,1045,1095,1077
29,MT904AO,3418,904,,C ST & 20TH ST NW (STATE DEPARTMENT),20266,NORTH BEACH PM 5TH & CHESAPEAKE,49127,Maryland Commuter Bus,2,MTA,60,90,Off-Peak,1054,1009,1072,1075,1052,864,980,1051,1052,1045,1095,1077
30,MT904BI,3419,904,,PINDELL  MD 4 & LOWER PINDELL RD,45555,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,15,95,Peak,1054,1009,1072,1075,1052,864,980,1051,1052,1045,1095,1077
31,MT715BO,3420,715,,20TH ST & E ST NW nb,20206,CALIFORNIA AIRPORT in ST MARY:S CO,49569,Maryland Commuter Bus,2,MTA,60,107,Off-Peak,,,,,731,589,666,699,709,707,732,730
32,MCAM840,3421,Camden,,UNION STATION,9001,DORSEY,9027,Commuter Rail,2,MARC,60,47,Peak,4422,4484,4626,4577,4474,4234,4352,4116,4436,4368,4371,4593
33,MT715AI,3422,715,,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,19TH ST & E ST NW sb,20205,Maryland Commuter Bus,2,MTA,15,86,Peak,,,,,731,589,666,699,709,707,732,730
34,MT715AO,3423,715,,20TH ST & E ST NW nb,20206,GOLDEN BEACH PARK & RIDE (CHARLOTTE HALL),49556,Maryland Commuter Bus,2,MTA,60,87,Off-Peak,,,,,731,589,666,699,709,707,732,730
35,MT902AI,3424,902,,ST LEONARD CHURCH MD 2 & BALL RD,49027,C ST & 20TH ST NW (STATE DEPARTMENT),20266,Maryland Commuter Bus,2,MTA,15,126,Peak,1319,1275,1338,1346,1310,1071,1203,1252,1266,1259,1304,1269
36,RO74O,3425,74,,SHADY GROVE STATION & BAY C -,22395,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,30,38,Off-Peak,975,1058,1337,1516,1373,1293,950,907,1042,1000,1161,1204
37,RO76%A,3426,76,,SHADY GROVE STATION & BAY C -,22395,QUINCE ORCHARD RD & DARNESTOWN,22285,Other Primary - Local Bus,2,Ride On Bus,30,20,Off-Peak,784,805,1057,966,897,861,725,672,725,750,700,700
38,RO90AI,3427,90,,WOODFIELD RD & &23716,23109,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,60,39,Off-Peak,853,1015,973,902,825,775,792,844,902,997,955,949
39,RO90AO,3428,90,,SHADY GROVE STATION & BAY C -,22395,WOODFIELD RD & &23716,23109,Other Primary - Local Bus,2,Ride On Bus,60,28,Off-Peak,853,1015,973,902,825,775,792,844,902,997,955,949
40,MT610I,3429,610,,US 301 P & R & SMALLWOOD DR,47062,12TH ST & G ST NW nb,20117,Maryland Commuter Bus,2,MTA,15,59,Peak,836,791,839,856,862,675,747,835,847,862,867,817
41,MT260I,3430,260,,SEVERNA PARK PARK & RIDE,45792,C ST & 21 ST NW fs eb,20266,Maryland Commuter Bus,2,MTA,30,80,Peak,,,304,298,298,248,287,296,292,280,286,275
42,MT515BI,3431,515,,FREDERICK MARC STATION (BUS),42540,SHADY GROVE & METRO STATION,22395,Maryland Commuter Bus,2,MTA,30,55,Peak,,,,,830,701,755,805,783,774,807,780
43,RO61O,3432,61,,SHADY GROVE STATION & BAY C -,22395,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,27,48,Off-Peak,2925,2986,3136,3052,2833,2676,2550,2475,2614,2900,2648,2676
44,LCC954/5/6,3433,Purcellville-DC,,LOUDOUN STATION PARK & RIDE,38407,WIEHLE-RESTON EAST METRO STATION,35099,Other Primary - Express Bus,2,Loudoun County Commuter Bus,20,18,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
45,ANNREDO,3434,,Not collected,WESTFIELD MALL,45584,EASTPORT PLAZA,45876,Other Primary - Express Bus,2,Annapolis,30,25,Peak,,,,,,,,,,,,
46,ANNREDO,3434,,Not collected,WESTFIELD MALL,45584,EASTPORT PLAZA,45876,Other Primary - Express Bus,2,Annapolis,30,25,Peak,,,,,,,,,,,,
47,ANNREDI,3436,,Not collected,EASTPORT PLAZA,45876,WESTFIELD MALL,45584,Other Primary - Express Bus,2,Annapolis,30,24,Peak,,,,,,,,,,,,
48,ANNREDI,3436,,Not collected,EASTPORT PLAZA,45876,WESTFIELD MALL,45584,Other Primary - Express Bus,2,Annapolis,30,24,Peak,,,,,,,,,,,,
49,RO38O,3438,38,,MARINELLI RD & ROCKVILLE PIKE,22670,WHEATON STATION & BAY H,22595,Other Primary - Local Bus,2,Ride On Bus,30,27,Off-Peak,966,975,925,875,850,850,800,700,775,816,770,725
50,FT80,3439,80,,Frederick Towne Mall  @ Boscovs,42029,Frederick Towne Mall  @ Boscovs,42336,Other Primary - Express Bus,2,TransIT,60,85,Off-Peak,96,102,128,128,114,89,82,98,96,104,87,87
51,FT60BI,3440,60,,Fairview Avenue @ College Park Plaza (Safeway),42323,Transit Center (downtown Frederick MARC Train Stat,42540,Other Primary - Express Bus,2,TransIT,60,10,Off-Peak,175,185,229,217,194,179,162,197,180,204,188,180
52,FT80,3439,80,,Frederick Towne Mall  @ Boscovs,42029,Frederick Towne Mall  @ Boscovs,42336,Other Primary - Express Bus,2,TransIT,60,85,Off-Peak,96,102,128,128,114,89,82,98,96,104,87,87
53,FT85S,3442,Rt. 85,,Frederick Marc TrnCtr.,42538,Frederick Marc TrnCtr,42540,Other Primary - Express Bus,2,TransIT,60,42,Peak,11,12,9,12,12,9,8,9,9,8,7,8
54,WMK06I,2967,K6,,LOCKWOOD DR & WHITE OAK S/C,22549,FT TOTTEN STATION & BUS BAY A,21106,Local Metrobus,2,Metro Bus,20,39,Off-Peak,6733,6438,6435,6297,5861,5557,5117,5502,5982,6141,6210,6057
55,WMK06I,2967,K6,,LOCKWOOD DR & WHITE OAK S/C,22549,FT TOTTEN STATION & BUS BAY A,21106,Local Metrobus,2,Metro Bus,20,39,Off-Peak,6733,6438,6435,6297,5861,5557,5117,5502,5982,6141,6210,6057
56,WMM04%I,2969,M4,,NW WESTERN AV & NW PINEHURST CI,20783,NW FORT DR & NW ALBEMARLE ST -TENLEYTOWN,20718,Local Metrobus,2,Metro Bus,20,16,Peak,767,803,1098,1074,1010,862,1003,998,1130,987,1080,970
