Date,Ridership
201307,3068599.0
201308,3091873.0
201309,3252460.0
201310,3250529.0
201311,3069970.0
201312,2834365.0
201401,2886449.0
201402,3134342.0
201403,3075961.0
201404,3174311.0
201405,3210112.0
201406,3128202.0
201407,3133695.0
201408,3122562.0
201409,3333832.0
201410,3244716.0
201411,3128540.0
201412,2837569.0
201501,2830531.0
201502,3146452.0
201503,3121013.0
201504,3100048.0
201505,3153744.0
201506,3129651.0
201507,3178547.0
201508,3030282.0
201509,3197939.0
201510,3150032.0
201511,2946431.0
201512,2757248.0
201601,2775029.0
201602,2930430.0
201603,2997932.0
201604,3020480.0
201605,3074190.0
201606,2984245.0
201607,3078417.0
201608,2999249.0
201609,3140778.0
201610,3091769.0
201611,2952762.0
201612,2729882.0
201701,2530827.0
201702,2884582.0
201703,2956426.0
201704,2954718.0
201705,2943902.0
201706,2929275.0
201707,2852099.0
201708,2850091.0
201709,2956764.0
201710,2954276.0
201711,2853227.0
201712,2575752.0
201801,2781485.0
201802,2815112.0
201803,2798797.0
201804,2749819.0
201805,2790205.0
201806,2696224.0
