Date,Massachusetts Bay Transportation Authority,MTA New York City Transit,Port Authority Transit Corporation,Port Authority Trans-Hudson Corporation,Staten Island Rapid Transit Operating Authority dba: MTA Staten Island Railway,Southeastern Pennsylvania Transportation Authority,Washington Metropolitan Area Transit Authority,Maryland Transit Administration,Metropolitan Atlanta Rapid Transit Authority,Miami-Dade Transit,Alternativa de Transporte Integrado_ATI,The Greater Cleveland Regional Transit Authority,Chicago Transit Authority,San Francisco Bay Area Rapid Transit District,Los Angeles County Metropolitan Transportation Authority dba: Metro
JAN11,11641300,193164194,820426,6326891,617275,7993511,21082553,1100008,5422254,1499324,835932,451723,16297860,8728778,3789697
FEB11,11743600,188515472,819778,6288231,578014,8052460,21228262,1147090,5818002,1474145,924521,446057,15836877,8441890,3526064
MAR11,13995700,219634627,957627,7584667,741311,9250967,26170157,1332704,6542373,1673175,1057161,500546,18685321,9555408,3986555
APR11,13593600,201682097,879523,7271097,634773,8413600,25656797,1237039,6389606,1575829,862609,459323,18062540,9346845,3910711
MAY11,13769300,225099318,879057,7267129,703301,8759787,24342603,1267985,6231213,1538200,890359,463978,18455789,9532758,3852879
JUN11,14044300,211821585,917720,7645600,699888,7788928,26563303,1249498,6433453,1504918,852294,452150,19491415,9779786,4096163
JUL11,13805000,206348388,847245,7232911,566902,7107173,25695119,1203983,6344058,1400466,636481,422491,18956116,9493821,4329229
AUG11,13587900,190502169,867963,7286517,577464,7410561,24335209,1247103,6553178,1523878,852447,462145,19972984,10198701,4389998
SEP11,14151170,214490020,888555,7403918,701412,8215664,23787505,1335519,6744778,1515462,1016124,509338,19730357,9977902,3974747
OCT11,14359515,228965684,904490,7467689,585202,8766710,24407944,1324130,6403176,1562078,1085801,505533,20312116,10253767,3865234
NOV11,13260620,215177460,874486,6986461,563375,8387964,22654619,1259270,5776550,1540968,939063,507788,18618039,9511142,3557437
DEC11,12560014,214870809,849499,7332844,547991,8243201,21691785,1235249,5577570,1487052,817197,506817,17167772,9504591,3685781
JAN12,12562447,208009409,882079,6834408,522884,8297101,21803627,1214964,5888906,1571314,914637,493561,17762284,9592678,3825552
FEB12,12789345,213371063,881314,6894792,531882,8531761,21932092,1277159,5658572,1566839,986255,508769,17888108,9663403,3751478
MAR12,14428484,220002054,955772,7718340,583493,9038624,25948220,1367600,6229190,1704827,1014408,566490,19712809,10063110,4062656
APR12,13923028,207913939,877046,7276171,536494,8202663,25066331,1270737,5824980,1594087,890602,488902,18796302,9880761,3948136
MAY12,14287451,220183208,909369,7629330,574921,8800874,25161639,1359698,5914425,1562507,929626,517699,19726367,10516638,4152160
JUN12,13670861,208855727,914160,7471598,570937,7792925,25709701,1268554,5796104,1446176,826797,504748,19952980,10208164,4193343
JUL12,14290383,214691579,861744,7699334,551940,7505767,25001942,1238597,5800106,1475744,675504,468348,19241629,10252748,3994854
AUG12,14490373,220104838,908647,7656121,599618,7684709,23813095,1323076,6155902,1604091,910032,537537,20585005,10978493,4223540
SEP12,14182156,214739487,859702,7197284,549973,8152398,21722649,1294449,6017175,1590419,1037249,531816,19843537,10347984,3908229
OCT12,15176735,211988829,894801,6158287,550210,8757147,22697072,1330161,6307471,1828768,1130272,574638,21669022,11975954,4353213
NOV12,14164135,211933547,866608,2687713,448775,8774118,21156527,1270417,5637343,1704093,906531,522940,19142029,10225693,4126988
DEC12,12547345,218031477,801655,4776923,446771,8150395,19116398,1183878,5276202,1593959,801810,525047,16834267,9661444,4163464
JAN13,13569984,217551025,903744,5911993,605795,8615614,22644106,1253743,5945786,1760755,1040059,532839,17892634,10044582,4248725
FEB13,12321843,195560082,813899,5747589,522624,8363740,20535443,1217302,5300088,1683387,972329,528104,17070397,9720752,3838820
MAR13,14698379,222492737,895581,6691446,567395,8868405,23377941,1252645,5627254,1903432,889713,554433,18528734,10677769,4198742
APR13,14257373,221270185,918014,7099200,604431,9125020,25793255,1332195,6281881,1867082,1015979,513154,19305119,10968542,4147192
MAY13,15062439,226978742,911934,7206824,630696,8985215,24177214,1338719,5670450,1810150,891394,531626,19343622,11107331,4234784
JUN13,13959669,223768421,861665,6929610,576769,8053272,23464852,1173170,5610243,1699845,743766,461214,19046280,10585204,4077912
JUL13,14663874,218899612,891129,7232063,497021,7774149,25430329,1239113,5928985,1698181,668610,505493,20036290,9005234,4356590
AUG13,14610203,222365661,873110,7188338,511543,7658716,23533749,1251998,6222245,1757105,986168,568368,19802315,11271687,4445878
SEP13,15120324,225720783,869333,7039420,608596,8336042,22138747,1287368,6021666,1731647,978939,551166,19971044,11062296,4231578
OCT13,16382561,246315838,954826,7680434,703414,9105354,22568599,1362349,6376001,1918472,1148211,596736,21394658,10007386,4629231
NOV13,14473703,220697973,836633,6808284,582173,8325728,20535975,1195104,5527098,1723168,871473,548896,19216299,10100407,4285543
DEC13,13357677,221123299,812515,6672020,574736,8025467,19205871,1130821,5393689,1722115,786471,531337,17508655,10196072,4335541
JAN14,13787696,208881579,819486,6472928,678912,8309284,19954729,1110394,5110328,1820300,928319,516681,17461004,10275255,4349072
FEB14,13420142,208031559,761198,6069397,599814,7962964,18890899,1077720,4932412,1784117,938891,474570,17800261,9708516,3869520
MAR14,15291711,241233382,852329,6888031,710850,8819154,21971882,1201426,5775307,1932811,1023441,550909,20074231,10834065,4013354
APR14,15991598,236085162,876394,7101258,686161,8583826,25549742,1257895,5847783,1900743,901199,550533,20356158,10993908,3964253
MAY14,15969243,245580889,861708,7147298,734806,8642881,23686634,1292420,5919333,1814954,875152,566158,20339768,11184320,3966834
JUN14,15393718,230419298,828298,7136624,720122,7745247,23936655,1225822,5706723,1686597,770349,432196,20191271,11145026,3917411
JUL14,15062530,227765753,843410,7161185,651930,7645730,25357158,1251314,6795165,1725647,650625,412879,20784335,11529147,4122088
AUG14,14180244,231934761,809051,6960011,591693,7537762,23132836,1214304,6693561,1741692,838150,506700,20419188,11455046,4105305
SEP14,15446565,237149822,846012,7051065,747554,8204999,22917150,1306686,6576774,1822047,936833,541930,21104077,11467457,4025065
OCT14,16679922,248832397,920918,7775988,808838,9752520,24582682,1366022,6752721,1976097,912067,597188,22443466,12556439,4278244
NOV14,14116823,216996558,773867,6459423,668555,8169336,20065907,1099108,5548048,1706362,682059,524901,18760478,10338527,3917433
DEC14,13959230,228848992,814585,6847168,702559,8389262,20468341,1152074,5846495,1810803,631098,529191,18365817,10688033,4116625
JAN15,12894821,200856260,792865,6167588,640176,8690974,19924742,1089869,5715839,1857513,741444,548817,17992806,10565314,4026491
FEB15,10774886,191903735,768061,6010658,592123,7927952,18348425,999959,5120518,1765236,753479,448338,17201791,10136239,3644411
MAR15,15186865,233761383,865316,7081969,747516,8872312,22574898,1152262,5854308,1996221,800694,557934,20097150,11563999,3982283
APR15,15570469,229270980,866830,7298038,715703,8713631,25054379,1105226,5846948,1897764,734667,550461,20115444,11468925,3780587
MAY15,15307538,222438260,844218,7245828,741466,8670980,22609113,1097989,5894489,1790898,665578,522596,20153134,11041447,3712398
JUN15,15435981,231996513,844362,7510084,773134,8172300,24206396,1066000,5891644,1778063,611552,515575,21125032,11849485,3795781
JUL15,15258324,237506432,880347,7677466,683571,7972753,24786276,1082885,6798234,1777949,552371,451951,21926763,11731661,4006597
AUG15,14296169,200405062,832174,7311064,630223,7593045,21155750,1061492,6089823,1729701,670632,532990,20802215,11342101,3902391
SEP15,15308414,222937876,863798,7414520,734216,8547412,20952910,1065581,6582187,1824002,842447,592832,21625824,11449941,3788440
OCT15,15930144,248353074,915036,7716524,828475,9072621,22321780,1138863,6619000,1930352,819219,620290,22663990,12202108,4013820
NOV15,13826072,221818275,824372,6983116,715344,8778120,18881833,1041250,5797404,1761820,694074,552619,19470592,10720752,3770616
DEC15,13744116,225677964,872108,7104920,755062,9108921,19188299,1046930,5820177,1813506,619232,543848,18501324,10915123,3932928
JAN16,12918965,203700844,814754,6540404,690704,8092417,16748182,835161,5535881,1787476,657186,530069,18164698,10648753,3770004
FEB16,13337646,212263157,853755,6739382,638268,8395540,19236884,931965,5542038,1824256,730724,502504,18561516,11457041,3671423
MAR16,15152324,235374012,945903,7746397,784731,9008246,22407991,1028092,6021963,1994796,691876,474130,20367468,11744295,3961402
APR16,14852944,222478233,887971,7425529,705348,8817116,21979083,964545,5764273,1843808,719534,545044,19797316,11254160,3700845
