,Unnamed: 0,Date,ROTP,RailReliability,MetroAccessOTP,EscalatorAvail,ElevatorAvail,TotalInjuries,Crime,Ridership
0,0,2011-01-01,0.879,48241,0.901,0.888,96.30%,2.08,6.39,21082553
1,1,2011-02-01,0.887,37703,0.89,0.866,96.00%,1.66,4.68,21228262
2,2,2011-03-01,0.91,50328,0.913,0.8690000000000001,96.90%,2.16,3.96,26170157
3,3,2011-04-01,0.909,39302,0.912,0.862,96.40%,2.21,4.72,25656797
4,4,2011-05-01,0.909,37355,0.922,0.825,97.40%,1.69,7.32,24342603
5,5,2011-06-01,0.902,36963,0.932,0.82,98.00%,1.99,5.16,26563303
6,6,2011-07-01,0.895,33112,0.931,0.8190000000000001,97.30%,1.65,6.06,25695119
7,7,2011-08-01,0.914,42475,0.927,0.807,95.20%,1.43,4.02,24335209
8,8,2011-09-01,0.91,50829,0.918,0.8440000000000001,94.50%,1.67,4.16,23787505
9,9,2011-10-01,0.905,47654,0.93,0.8740000000000001,94.90%,1.46,5.41,24407944
10,10,2011-11-01,0.887,35138,0.93,0.901,96.70%,2.08,9.03,22654619
11,11,2011-12-01,0.906,39356,0.931,0.8859999999999999,96.40%,2.37,6.0,21691785
12,12,2012-01-01,0.893,40399,0.934,0.8859999999999999,95.70%,1.6,7.99,21803627
13,13,2012-02-01,0.892,40253,0.923,0.894,96.60%,1.23,8.31,21932092
14,14,2012-03-01,0.908,43537,0.917,0.893,96.50%,1.27,5.14,25948220
15,15,2012-04-01,0.908,42237,0.928,0.9,96.50%,1.69,4.79,25066331
16,16,2012-05-01,0.9,42556,0.924,0.907,97.30%,2.79,4.62,25161639
17,17,2012-06-01,0.908,32526,0.927,0.906,98.00%,2.61,6.52,25709701
18,18,2012-07-01,0.912,36551,0.936,0.901,97.00%,1.39,6.13,25001942
19,19,2012-08-01,0.921,50842,0.925,0.873,97.50%,1.52,5.66,23813095
20,20,2012-09-01,0.915,51013,0.921,0.868,97.20%,1.29,7.52,21722649
