
Month	,	Total_Rides
2015-5	,	1397101 
2015-6	,	1470465 
2015-7	,	1401791 
2015-8	,	1129706 
2015-9	,	1308444 
2015-10	,	1487132 
2015-11	 ,	  993501 
2015-12	,	1081725 
2016-1	 ,	  922337 
2016-2	,	1194697 
2016-3	,	1404638 
2016-4	,	1369881 
2016-5	,	1323154 
2016-6	,	1282650 
2016-7	,	1109117 
2016-8	,	  949649 
2016-9	,	1203387 
2016-10	,	1027035 
2016-11	,	1011672 
2016-12	 ,	  898992 
2017-1	  ,	  901806 
2017-2	 ,	  949577 
2017-3	,	1237620
2017-4	,	1185858
2017-5	,	1188943
2017-6	,	1182525
2017-7	,	  993833



