,0,1,2,3
Date_Bus_x_2,-71477832114.55226,194467.28970056484,-0.13226436628178312,
ROTP_Bus_x_2,4195956.550040714,-3718796.6218469664,2738829.767080789,
RailReliability_Bus_x_2,2725315.861768733,9.519461120165177,-7.308446186213254e-05,
MetroAccessOTP_Bus_x_2,-3536174.1069221874,14221729.22936812,-7712181.265419532,
EscalatorAvail_Bus_x_2,-30953188.485597163,78027034.46386087,-44584616.00904008,
ElevatorAvail_Bus_x_2,-497948531.8258128,1040063292.5259397,-539797480.1529236,
TotalInjuries_Bus_x_2,3165442.8888679864,-82115.87963436046,3185.129114733248,
Crime_Bus_x_2,2801647.1671595993,35121.52212845246,1157.8413727384357,
Date_Bus_x_3,-23906538301074.703,97355124.48203373,-132.15333216962014,5.979634654365569e-05
ROTP_Bus_x_3,-16948895.522873793,79121989.7810702,-104454543.90846124,45828625.55544623
RailReliability_Bus_x_3,777816.7833954408,92.27770128688286,-0.0011901709465667702,4.798115874000881e-09
MetroAccessOTP_Bus_x_3,1475586657.5169988,-4969347287.785204,5584185280.790834,-2089643630.9133139
EscalatorAvail_Bus_x_3,-28485797808.477715,90929468089.7864,-96726067834.2644,34291808108.95041
ElevatorAvail_Bus_x_3,-68783824713.28761,212246497789.78458,-218286799325.4435,74828318990.32074
TotalInjuries_Bus_x_3,3158290.6495210053,-72863.3684223362,-408.92705001672664,404.67916694661176
Crime_Bus_x_3,4894331.050574891,-1130485.2170244665,207094.8196778012,-11519.819015233048
