Date,ROTP,RailReliability,MetroAccessOTP,EscalatorAvail,ElevatorAvail,TotalInjuries,Crime
2011-01-01,0.879,48241,0.9009999999999999,0.888,96.30%,2.08,6.39
2011-02-01,0.887,37703,0.89,0.866,96.00%,1.66,4.68
2011-03-01,0.91,50328,0.9129999999999999,0.8690000000000001,96.90%,2.16,3.96
2011-04-01,0.909,39302,0.912,0.862,96.40%,2.21,4.72
2011-05-01,0.909,37355,0.922,0.825,97.40%,1.69,7.32
2011-06-01,0.902,36963,0.932,0.82,98.00%,1.99,5.16
2011-07-01,0.895,33112,0.9309999999999999,0.8190000000000001,97.30%,1.65,6.06
2011-08-01,0.914,42475,0.927,0.807,95.20%,1.43,4.02
2011-09-01,0.91,50829,0.9179999999999999,0.8440000000000001,94.50%,1.67,4.16
2011-10-01,0.905,47654,0.93,0.8740000000000001,94.90%,1.46,5.41
2011-11-01,0.887,35138,0.93,0.9009999999999999,96.70%,2.08,9.03
2011-12-01,0.9059999999999999,39356,0.9309999999999999,0.8859999999999999,96.40%,2.37,6.0
2012-01-01,0.893,40399,0.934,0.8859999999999999,95.70%,1.6,7.99
2012-02-01,0.892,40253,0.9229999999999999,0.894,96.60%,1.23,8.31
2012-03-01,0.9079999999999999,43537,0.917,0.893,96.50%,1.27,5.14
2012-04-01,0.9079999999999999,42237,0.9279999999999999,0.9,96.50%,1.69,4.79
2012-05-01,0.9,42556,0.924,0.907,97.30%,2.79,4.62
2012-06-01,0.9079999999999999,32526,0.927,0.9059999999999999,98.00%,2.61,6.52
2012-07-01,0.912,36551,0.9359999999999999,0.9009999999999999,97.00%,1.39,6.13
2012-08-01,0.9209999999999999,50842,0.925,0.873,97.50%,1.52,5.66
2012-09-01,0.915,51013,0.9209999999999999,0.868,97.20%,1.29,7.52
2012-10-01,0.917,72943,0.924,0.884,97.40%,2.01,6.16
2012-11-01,0.917,67555,0.922,0.904,96.90%,1.2,6.43
2012-12-01,0.9229999999999999,66942,0.9229999999999999,0.9079999999999999,97.50%,1.4,5.0
2013-01-01,0.9229999999999999,67500,0.9329999999999999,0.902,97.50%,1.88,5.9
2013-02-01,0.922,71323,0.9229999999999999,0.898,96.70%,1.49,7.0
2013-03-01,0.9209999999999999,71225,0.9259999999999999,0.92,96.10%,1.84,4.8
2013-04-01,0.924,64890,0.9159999999999999,0.919,95.40%,2.6,5.0
2013-05-01,0.919,62418,0.919,0.9229999999999999,95.10%,1.78,9.4
2013-06-01,0.915,61745,0.899,0.9159999999999999,94.90%,2.05,9.3
2013-07-01,0.917,51757,0.9129999999999999,0.9259999999999999,96.70%,1.46,7.8
2013-08-01,0.927,69230,0.929,0.9279999999999999,96.60%,1.98,9.1
2013-09-01,0.924,75697,0.9059999999999999,0.938,96.90%,2.23,8.5
2013-10-01,0.922,61959,0.912,0.9390000000000001,96.80%,2.39,8.1
2013-11-01,0.903,51248,0.9109999999999999,0.929,97.40%,1.68,5.9
2013-12-01,0.9229999999999999,63468,0.925,0.9179999999999999,96.90%,1.59,4.3
2014-01-01,0.892,44530,0.9329999999999999,0.93,97.40%,3.01,3.2
2014-02-01,0.92,66600,0.902,0.9359999999999999,96.60%,1.9,3.2
2014-03-01,0.904,63127,0.925,0.9359999999999999,97.30%,1.51,3.8
2014-04-01,0.92,77957,0.9109999999999999,0.9259999999999999,97.20%,1.53,3.9
2014-05-01,0.917,64848,0.9229999999999999,0.9229999999999999,97.60%,2.19,6.0
2014-06-01,0.912,55522,0.924,0.9309999999999999,97.00%,1.63,6.1
2014-07-01,0.922,84627,0.9259999999999999,0.929,97.20%,1.74,5.9
2014-08-01,0.897,65042,0.9279999999999999,0.927,96.80%,1.47,8.2
2014-09-01,0.907,73150,0.9179999999999999,0.93,96.30%,2.95,6.0
2014-10-01,0.9009999999999999,89891,0.919,0.938,96.00%,1.53,4.6
2014-11-01,0.884,63436,0.915,0.938,96.70%,1.86,4.7
2014-12-01,0.897,61000,0.922,0.932,96.20%,2.42,3.8
2015-01-01,0.873,53784,0.93,0.9309999999999999,96.80%,5.19,4.3
2015-02-01,0.8390000000000001,41558,0.8909999999999999,0.9390000000000001,97.40%,1.7,3.6
2015-03-01,0.885,63588,0.894,0.941,97.90%,2.22,3.6
2015-04-01,0.899,60242,0.92,0.935,97.10%,2.49,3.8
2015-05-01,0.87,69260,0.929,0.937,96.50%,1.7,5.8
2015-06-01,0.846,54779,0.935,0.9329999999999999,96.10%,1.61,4.8
2015-07-01,0.8440000000000001,56446,0.948,0.929,96.70%,0.81,4.7
2015-08-01,0.828,59196,0.9470000000000001,0.9329999999999999,97.40%,2.53,5.5
2015-09-01,0.789,60872,0.9390000000000001,0.934,96.40%,1.7,6.2
2015-10-01,0.7559999999999999,65900,0.93,0.927,96.40%,2.05,6.9
2015-11-01,0.8009999999999999,63564,0.934,0.932,96.40%,1.37,5.4
2015-12-01,0.823,51599,0.937,0.9329999999999999,97.20%,1.35,4.7
2016-01-01,0.7,39657,0.937,0.9359999999999999,97.20%,3.29,6.1
2016-02-01,0.72,47239,0.9309999999999999,0.935,96.70%,2.22,4.4
2016-03-01,0.78,59131,0.93,0.943,97.10%,1.75,4.3
2016-04-01,0.8,80943,0.925,0.9390000000000001,97.00%,2.13,4.1
2016-05-01,0.69,81278,0.93,0.9329999999999999,96.80%,1.91,6.1
2016-06-01,0.71,85389,0.9229999999999999,0.9309999999999999,96.60%,2.15,5.0
2016-07-01,0.71,55850,0.92,0.93,96.20%,1.78,6.3
2016-08-01,0.69,73246,0.914,0.9209999999999999,96.70%,1.79,6.2
2016-09-01,0.64,65416,0.838,0.925,96.60%,2.01,5.4
2016-10-01,0.65,86174,0.8340000000000001,0.9440000000000001,96.60%,1.73,4.9
2016-11-01,0.61,66697,0.836,0.94,96.90%,1.68,4.5
2016-12-01,0.63,76244,0.8690000000000001,0.941,96.90%,2.63,4.9
2017-01-01,0.66,79105,0.88,0.95,96%,2.14,4.5
2017-02-01,0.71,85489,0.8740000000000001,0.95,97%,2.59,3.8
2017-03-01,0.7,80348,0.8540000000000001,0.96,97%,2.17,3.5
2017-04-01,0.75,118958,0.88,0.96,97%,1.41,4.2
