,0,1,2,3
Date_Metro_x_2,-405301676608.8428,1104677.4922200355,-0.7526738754447176,
ROTP_Metro_x_2,29390103.549552016,-40958105.63817001,37218160.09449802,
RailReliability_Metro_x_2,27595673.839771684,-128.3822775495007,0.0005319427272804923,
MetroAccessOTP_Metro_x_2,-398686249.69377124,898064699.4807556,-478949354.3057573,
EscalatorAvail_Metro_x_2,-192305362.87345114,525094700.4915002,-317591860.53048843,
ElevatorAvail_Metro_x_2,6359249677.362821,-13079630973.57335,6748287812.669931,
TotalInjuries_Metro_x_2,24260532.974276174,-1545259.4033066726,132970.80797012098,
Crime_Metro_x_2,17230999.80601211,1193200.8118508323,-60616.65809489415,
Date_Metro_x_3,18326612288838.6,-75310566.82577865,103.15708578695295,-4.709894263837075e-05
ROTP_Metro_x_3,-274662783.34237206,1144517204.2794416,-1489055205.3559988,649191492.9469203
RailReliability_Metro_x_3,26381608.21353079,-70.16872674147774,-0.0003321800780888813,4.0020620368606636e-09
MetroAccessOTP_Metro_x_3,21029211427.386215,-71262339382.79547,80451325151.87073,-30229377388.616608
EscalatorAvail_Metro_x_3,3089252881.1342916,-10593756197.580168,12220652616.578934,-4705847229.394468
ElevatorAvail_Metro_x_3,-235872196057.59518,740761527138.1544,-775203101522.2568,270352536080.9871
TotalInjuries_Metro_x_3,25507084.828171413,-3176138.9787427494,772794.9625633752,-72629.1577199645
Crime_Metro_x_3,7000320.511463345,6673904.96590827,-990964.5762303753,50008.00479739208
