,0,1,2,3
Date_Taxi_x_2,433164229166.5184,-1176506.7051609585,0.7988722206376845,
ROTP_Taxi_x_2,-2373934.827961149,8409536.903306842,-4854285.404340078,
RailReliability_Taxi_x_2,1161584.7044526543,1.1481313067997294,-1.325524338871542e-05,
MetroAccessOTP_Taxi_x_2,27753938.0734844,-61882150.33324616,35861797.23606001,
EscalatorAvail_Taxi_x_2,88869301.23979688,-182987898.99464026,95400662.41279525,
ElevatorAvail_Taxi_x_2,172864354.62057304,-348613286.56519073,176900938.0340902,
TotalInjuries_Taxi_x_2,1142489.5456106847,156640.7999107092,-69452.67773535078,
Crime_Taxi_x_2,2342171.313182749,-484686.31324651616,48694.3444329725,
Date_Taxi_x_3,-220766043593963.38,900309890.5752827,-1223.8554140538827,0.0005545574627813728
ROTP_Taxi_x_3,8002266.497421453,-34160591.43266469,52988900.85740633,-26032381.557954606
RailReliability_Taxi_x_3,-1451044.988295608,110.77812933204328,-0.0014688506042598805,6.129502442152557e-09
MetroAccessOTP_Taxi_x_3,475230121.54355997,-1573745715.218288,1736921233.6074631,-637374291.0809973
EscalatorAvail_Taxi_x_3,-49207711496.84672,156968726357.5506,-166882734402.28882,59134101801.466675
ElevatorAvail_Taxi_x_3,-284944605362.3145,881564440973.1929,-909099802977.5454,312488961686.534
TotalInjuries_Taxi_x_3,1738809.2340999022,-867660.5027344194,470386.5567346129,-87968.7123500721
Crime_Taxi_x_3,-3443218.453782092,3028731.383355932,-648617.6640230619,45221.063196998024
