,0,1,2,3
Date_Uber_x_2,-645274936298.3264,1750727.7145425077,-1.1874853845649043,
ROTP_Uber_x_2,25181205.01368161,-55233110.51942728,37746169.91865226,
RailReliability_Uber_x_2,1788576.2846334707,76.21321822762698,-0.0003902733455870334,
MetroAccessOTP_Uber_x_2,-42526831.73281967,111108045.63738513,-64371346.62984477,
EscalatorAvail_Uber_x_2,197963655.77245548,-420641241.81617934,229352412.06164348,
ElevatorAvail_Uber_x_2,3090051071.709732,-6379577950.49998,3298283466.63515,
TotalInjuries_Uber_x_2,3973106.223962041,1509531.2177748682,-413261.0601821296,
Crime_Uber_x_2,5144383.103565809,172899.140736188,-30406.59965533039,
Date_Uber_x_3,-5305861426388045.0,21615715762.016777,-29353.648796053483,0.013287195417700832
ROTP_Uber_x_3,-2741898.6817555763,58520455.451419085,-115525991.1188717,68290269.02444096
RailReliability_Uber_x_3,2155372.9109160267,60.60898916941085,-0.00018318279286361157,-8.681047155631438e-10
MetroAccessOTP_Uber_x_3,266663421.75383064,-938087900.693425,1121369252.8387759,-446300784.95773274
EscalatorAvail_Uber_x_3,76587856282.72209,-243902052728.07285,258890306266.43698,-91586414914.32617
ElevatorAvail_Uber_x_3,-116342191301.83778,362953088020.4886,-377399275184.28546,130800277557.62999
TotalInjuries_Uber_x_3,8461013.972852483,-4671713.646567451,2329583.070981627,-390993.2914196893
Crime_Uber_x_3,30179270.008883987,-15769242.733488802,3292143.2462721723,-226410.3214797182
