ASIN,date,author,title,rating,body,helpful
B016OP6N3M,06 Apr 2018,Fuzzyx,High quality!!,5.0 ,"These bamboo set has very high quality! They have appropriate sizes for me to deal with the raws. I used the smallest one for spices, medium for meat, and the largest for vegs and fruits! Also they have beautiful bamboo smell when I firstly opened the pack, felt natural and healthy :)",
B016OP6N3M,06 Apr 2018,Ebony Savage,Five Stars,5.0 ,Great price and quality,
B016OP6N3M,05 Apr 2018,WEN,"Good quality, but the size is relatively small",5.0 ,"Good quality, but the size is relatively small, is a natural bamboo products! Very environmentally friendly, the overall shape is great!",
B016OP6N3M,05 Apr 2018,Shanshan Huang,Useful,5.0 ,These set of 3 cutting boards are good quality and very useful. I'm happy with my purchase.,
B016OP6N3M,05 Apr 2018,Melissa,good quality! I like the idea of three different ...,5.0 ,"good quality! I like the idea of three different size cutting boards in a combos, so I can separate it for different use. I use the big one for raw meat and vegetables. The medium one for cooked meat, and the small one for fruits or salads.",2 people found this helpful.
B016OP6N3M,05 Apr 2018,Ycarolina,I like this set bamboo board,5.0 ,"I like this set bamboo board. It is perfect for use small board for cheese, medium vegetables. It is real bamboo. They are thin and no heavy. They are practical.",
B016OP6N3M,05 Apr 2018,jimmy L,Five Stars,5.0 ,Very useful,
B016OP6N3M,04 Apr 2018,Abby M,Poor quality,1.0 ,All of the boards warped and split after the first use.,
B016OP6N3M,04 Apr 2018,martin j,Three Stars,3.0 ,Might be ok for a clild--Thought it would be bigger !,
B016OP6N3M,04 Apr 2018,Jessica Langlois,"Nice quality, smaller than I thought (but that's on ...",4.0 ,"Nice quality, smaller than I thought (but that's on me as the sizes were listed). Thin, light. I don't expect they will last more than a year or two (we cook a lot), but they were cheap enough and I good gift for my husband.Not a bad idea to oil them and make sure they don't soak in water.",
B016OP6N3M,06 Apr 2018,Fuzzyx,High quality!!,5.0 ,"These bamboo set has very high quality! They have appropriate sizes for me to deal with the raws. I used the smallest one for spices, medium for meat, and the largest for vegs and fruits! Also they have beautiful bamboo smell when I firstly opened the pack, felt natural and healthy :)",
B016OP6N3M,06 Apr 2018,Ebony Savage,Five Stars,5.0 ,Great price and quality,
B016OP6N3M,05 Apr 2018,WEN,"Good quality, but the size is relatively small",5.0 ,"Good quality, but the size is relatively small, is a natural bamboo products! Very environmentally friendly, the overall shape is great!",
B016OP6N3M,05 Apr 2018,Shanshan Huang,Useful,5.0 ,These set of 3 cutting boards are good quality and very useful. I'm happy with my purchase.,
B016OP6N3M,05 Apr 2018,Melissa,good quality! I like the idea of three different ...,5.0 ,"good quality! I like the idea of three different size cutting boards in a combos, so I can separate it for different use. I use the big one for raw meat and vegetables. The medium one for cooked meat, and the small one for fruits or salads.",2 people found this helpful.
B016OP6N3M,05 Apr 2018,Ycarolina,I like this set bamboo board,5.0 ,"I like this set bamboo board. It is perfect for use small board for cheese, medium vegetables. It is real bamboo. They are thin and no heavy. They are practical.",
